@RELATION data/data_cough/svm_cough
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {Coughing,NoCough}

@DATA
0.007541,0.017812,2.730527,0.090272,0.178780,0.043958,0.032286,0.008090,-30.447805,2.491867,-0.037405,0.482363,0.081063,0.419410,0.297841,0.022455,0.074975,0.052644,0.012199,0.148849,0.111191,0.001457,0.000430,0.043514,0.001845,0.010359,0.001358,0.287943,0.000524,0.000632,0.001343,0.011546,0.000524,0.080959,-0.000276,-0.000122,0.011455,-0.000872,-0.000359,-0.002709,-0.000347,-0.000362,-0.115512,0.005657,0.002753,0.008287,0.007928,0.000436,-0.002165,0.004149,0.000372,0.006390,0.007697,-0.000546,-0.002221,-0.000191,-0.000010,-0.000012,-0.000348,-0.000858,-0.000074,0.006029,-0.000036,-0.000025,-0.000110,-0.000550,-0.000109,0.001514,0.009409,0.041175,0.247870,0.030839,0.037086,0.076998,0.025758,0.016147,3.504779,0.611084,0.404751,0.333392,0.283701,0.203224,0.206685,0.167559,0.154977,0.201010,0.159317,0.154427,0.160204,0.002228,0.000929,0.044822,0.003800,0.011671,0.002301,0.099595,0.001445,0.000906,0.001543,0.016282,0.001113,0.025425,0.011774,0.045975,0.395830,0.037092,0.046042,0.098349,0.035508,0.021060,2.803138,0.619631,0.478314,0.490811,0.330666,0.246024,0.260284,0.202114,0.220987,0.272278,0.222075,0.225742,0.204555,0.002781,0.001287,0.066122,0.005677,0.011728,0.003013,0.140114,0.002245,0.001328,0.002127,0.022592,0.001775,0.035211,Coughing
0.060981,0.006476,2.802276,0.181318,0.237095,0.327879,0.009513,0.051695,-30.714179,2.455798,-0.093688,0.318874,-0.604301,-0.677354,0.160677,-0.248432,-0.107596,-0.244326,-0.026038,-0.172886,-0.245989,0.011609,0.006660,0.055270,0.014115,0.012981,0.013440,0.111836,0.001362,0.017626,0.009013,0.008711,0.005423,0.041811,0.009156,-0.000300,0.019413,0.010419,0.003456,0.034554,-0.000067,-0.000763,-0.424996,0.000201,-0.009483,-0.003894,0.014868,0.005565,-0.016073,0.004834,-0.008010,0.001263,0.012582,0.006996,0.012712,-0.000475,-0.000037,-0.001069,-0.001052,-0.000517,-0.000172,0.003105,0.000001,0.000201,0.000102,0.000142,-0.000261,0.000532,0.066780,0.009590,0.360358,0.099017,0.075594,0.350929,0.008816,0.049071,6.051015,0.736849,0.306429,0.366318,0.358732,0.517384,0.333962,0.275649,0.218999,0.330778,0.275991,0.291902,0.218379,0.011806,0.007763,0.035521,0.019624,0.008198,0.012355,0.133731,0.001278,0.018954,0.009834,0.007840,0.006379,0.030213,0.063036,0.013506,0.536461,0.057888,0.045313,0.305613,0.012865,0.038237,3.700827,0.689405,0.336059,0.445325,0.345695,0.525637,0.383260,0.395552,0.269299,0.299396,0.253913,0.353554,0.220889,0.016730,0.007911,0.036019,0.024767,0.012001,0.016745,0.090774,0.001784,0.025056,0.015010,0.008960,0.009634,0.023647,Coughing
0.017710,0.006201,3.130658,0.059907,0.120522,0.114975,0.038325,0.026240,-32.724320,1.927793,0.333838,0.747184,-0.236836,0.108136,0.218104,-0.052979,0.193876,-0.041497,0.021930,0.057692,0.098898,0.003340,0.001745,0.007504,0.002269,0.122134,0.002445,0.016224,0.000790,0.003088,0.004096,0.003603,0.001494,0.036049,-0.000023,-0.000005,0.011394,-0.001402,-0.002140,-0.000221,0.000432,-0.000015,-0.085876,-0.007531,-0.001717,0.001381,-0.019611,-0.008149,-0.006538,0.012044,0.001580,0.000552,0.006363,0.003674,0.006878,-0.000004,-0.000001,-0.000158,-0.000005,0.001160,-0.000003,-0.003179,-0.000001,-0.000002,-0.000004,-0.000027,-0.000001,-0.000176,0.020829,0.009067,0.291644,0.031920,0.029253,0.152629,0.086744,0.034010,5.482215,0.647771,0.484343,0.325285,0.750660,0.427157,0.465153,0.400258,0.228800,0.372206,0.273338,0.215603,0.239709,0.004961,0.003493,0.011745,0.004391,0.051643,0.003751,0.024334,0.001933,0.006216,0.006297,0.007293,0.002308,0.012183,0.016954,0.011732,0.365938,0.028649,0.035616,0.166924,0.126605,0.034785,3.677881,0.492440,0.544058,0.414160,0.517127,0.337444,0.402119,0.420363,0.324163,0.379159,0.303255,0.269433,0.236016,0.005184,0.005018,0.015880,0.005407,0.042201,0.004476,0.026574,0.002497,0.007384,0.006511,0.009110,0.002069,0.008755,Coughing
0.041980,0.001251,3.044499,0.114569,0.173712,0.268669,0.006696,0.054375,-33.524053,2.199690,-0.642014,0.105251,-0.190491,-0.083799,0.009069,0.081972,-0.197073,-0.061622,-0.020450,0.021954,-0.073989,0.014281,0.006709,0.041383,0.017282,0.026362,0.011831,0.031977,0.006652,0.009449,0.019689,0.020480,0.004945,0.020720,0.000022,-0.000000,0.001621,0.000367,0.000377,0.000379,0.000044,0.000036,0.008022,-0.008592,-0.004325,-0.003001,-0.001527,0.001844,0.002702,0.000899,-0.000250,0.000918,0.000994,-0.000341,0.000486,0.000054,0.000010,-0.001043,-0.000131,-0.000021,0.000007,0.000427,0.000002,0.000050,0.000273,-0.000000,-0.000001,-0.000224,0.018467,0.002636,0.303596,0.025123,0.025116,0.212686,0.004518,0.034783,3.694059,0.760678,0.616075,0.402161,0.242246,0.292861,0.267901,0.272637,0.276030,0.219927,0.240742,0.212369,0.210625,0.013229,0.007575,0.038590,0.016267,0.022877,0.012113,0.025500,0.008872,0.009328,0.016810,0.016206,0.004799,0.009911,0.013292,0.003355,0.432420,0.025264,0.025231,0.169766,0.005360,0.027271,2.305733,0.557143,0.411810,0.375328,0.265787,0.312805,0.291151,0.300180,0.269271,0.261241,0.268071,0.264541,0.251123,0.015913,0.010203,0.035358,0.020166,0.024948,0.014695,0.026935,0.010699,0.011886,0.019217,0.017060,0.006419,0.009623,Coughing
0.092594,0.003290,2.871791,0.246838,0.207165,0.871254,0.007134,0.127050,-32.586782,0.972971,0.699220,0.064619,-0.167585,-0.114795,0.099417,-0.086047,0.025679,-0.113296,-0.022338,-0.018206,-0.029329,0.010121,0.001840,0.026502,0.006930,0.035453,0.008593,0.063770,0.001498,0.003701,0.007478,0.015652,0.003207,0.027733,0.000232,-0.000008,0.000280,0.001432,0.000272,0.001766,-0.000005,-0.000041,-0.054489,-0.007078,-0.003812,0.000182,0.000258,0.001827,-0.000828,0.000201,0.000706,0.000042,0.001373,-0.000585,-0.000138,-0.000188,-0.000004,-0.000044,-0.000035,0.000286,-0.000121,-0.000086,-0.000001,-0.000023,-0.000041,-0.000075,-0.000008,0.000037,0.043827,0.006648,0.418906,0.107321,0.047222,0.444530,0.006949,0.089113,5.834149,0.823644,0.707393,0.478525,0.433139,0.363658,0.254597,0.312529,0.281527,0.283114,0.235039,0.241570,0.229037,0.013406,0.002764,0.030909,0.009376,0.029605,0.010807,0.084525,0.002182,0.004034,0.008612,0.019988,0.004982,0.022742,0.034144,0.007998,0.530522,0.061403,0.034559,0.374827,0.008390,0.068021,3.239423,0.780010,0.627185,0.440136,0.412163,0.342167,0.259559,0.326225,0.304920,0.315483,0.254348,0.286326,0.245687,0.016215,0.003529,0.037105,0.012128,0.023132,0.011963,0.077462,0.002516,0.005079,0.009684,0.020381,0.006220,0.020179,Coughing
0.158144,0.005096,2.868905,0.311436,0.266078,1.150016,0.010227,0.335730,-36.123287,1.680297,0.427340,0.479780,0.260965,0.286819,0.204670,0.250638,0.103073,-0.054398,0.045081,0.023515,0.081645,0.005596,0.000948,0.077716,0.002375,0.020218,0.001878,0.161881,0.000414,0.000847,0.005146,0.030762,0.000773,0.052836,0.007044,-0.000001,0.013651,0.006539,0.000777,0.049571,-0.000144,0.016697,-0.155275,-0.056117,-0.004911,-0.000744,-0.005457,-0.024912,-0.014404,-0.009384,0.003388,0.012894,0.008884,0.006349,-0.002208,-0.000064,0.000004,-0.000064,-0.000049,0.000277,-0.000013,-0.002137,0.000002,0.000000,-0.000031,-0.000925,-0.000018,-0.000575,0.099459,0.013143,0.347013,0.105071,0.037239,0.819280,0.011334,0.261254,3.158251,0.792150,0.449245,0.240243,0.224833,0.267214,0.245718,0.231840,0.209992,0.226850,0.184719,0.173587,0.141677,0.010093,0.001185,0.061885,0.003444,0.016748,0.002748,0.091520,0.000297,0.001070,0.006075,0.031488,0.000663,0.023096,0.082052,0.014436,0.359767,0.070399,0.032385,0.619062,0.011735,0.233840,2.795091,0.543240,0.559425,0.274314,0.331220,0.310621,0.333857,0.306810,0.300044,0.235102,0.257413,0.257498,0.210628,0.014532,0.001559,0.087329,0.004128,0.023257,0.003731,0.103223,0.000447,0.001520,0.008347,0.034055,0.000891,0.029430,Coughing
0.035696,0.038016,2.763877,0.094481,0.145189,0.217171,0.014039,0.034982,-27.356495,3.328729,1.188747,0.264001,-0.227128,0.293090,0.119662,-0.056233,0.130007,-0.195492,0.160995,-0.032311,0.110540,0.017694,0.001782,0.075470,0.008606,0.031978,0.006549,0.044452,0.000533,0.005395,0.027485,0.048680,0.002124,0.029648,-0.009630,-0.002956,0.004888,-0.014265,-0.009374,-0.047765,0.001660,-0.001565,-1.070113,0.327765,0.055583,0.136714,0.105213,-0.020093,-0.076603,0.142866,-0.038821,-0.148736,0.032262,0.076431,0.047165,-0.001467,-0.000440,-0.009793,0.000950,-0.006401,-0.000346,0.012124,-0.000056,-0.000483,0.002511,0.004293,-0.000215,-0.001491,0.021101,0.048037,0.278121,0.022300,0.025300,0.190639,0.012872,0.043236,3.144414,0.291454,0.372059,0.349849,0.247001,0.263933,0.175289,0.142608,0.188766,0.194787,0.199635,0.208987,0.250898,0.010974,0.002238,0.021314,0.006124,0.025425,0.006374,0.025767,0.000780,0.005583,0.017889,0.013191,0.002083,0.005271,0.026649,0.071610,0.372669,0.018101,0.028641,0.256650,0.015699,0.055317,3.383383,0.573210,0.415097,0.472438,0.396957,0.426228,0.241522,0.289123,0.265093,0.154620,0.279298,0.213642,0.395121,0.016816,0.002817,0.024200,0.010062,0.024963,0.010032,0.028073,0.001070,0.008476,0.030066,0.023937,0.002870,0.008680,Coughing
0.084789,0.044406,2.827092,0.137827,0.161458,0.538060,0.007759,0.112319,-32.585441,1.641153,0.432274,0.590230,-0.076046,0.127220,-0.197254,0.078228,0.076981,-0.057509,-0.002708,-0.008930,0.079633,0.005210,0.001234,0.073619,0.007733,0.041099,0.015059,0.050407,0.000375,0.003345,0.007316,0.021728,0.001951,0.032746,0.010084,-0.000000,-0.008578,0.006518,-0.001233,0.044540,-0.000170,0.013498,-0.033463,-0.059770,-0.001018,-0.023362,0.004745,-0.001788,0.002878,0.003079,0.014521,-0.008222,0.002370,0.020034,-0.003840,0.000285,-0.000091,-0.002808,-0.000037,-0.001436,-0.000189,-0.005821,0.000000,-0.000011,-0.000327,-0.000357,0.000026,-0.001704,0.057544,0.080007,0.359789,0.036967,0.028817,0.427301,0.005657,0.093102,4.684880,0.641910,0.292965,0.296800,0.406671,0.349268,0.312550,0.267880,0.264381,0.249249,0.194758,0.234709,0.197602,0.005718,0.001536,0.062164,0.007766,0.034449,0.029452,0.046976,0.000331,0.004749,0.010274,0.016338,0.002365,0.018176,0.039345,0.063503,0.539294,0.025545,0.038077,0.385719,0.008067,0.066187,3.408232,0.629916,0.348011,0.307606,0.341809,0.314317,0.292833,0.301756,0.248829,0.277407,0.265484,0.257691,0.244768,0.006999,0.002181,0.058838,0.010937,0.033349,0.031572,0.049720,0.000453,0.005170,0.013675,0.019604,0.003321,0.017090,Coughing
0.079432,0.005280,3.067982,0.191893,0.228489,0.572110,0.005030,0.105710,-29.494159,2.296326,0.023700,0.217136,-0.320056,-0.138786,0.181049,-0.268962,0.120547,-0.151904,-0.134106,0.147750,-0.090774,0.010749,0.003836,0.043332,0.030425,0.021196,0.014664,0.047173,0.001567,0.007454,0.021869,0.035361,0.004239,0.028858,0.000461,-0.000001,0.005516,0.000263,-0.000558,0.012204,0.000127,0.002140,-0.002850,-0.029779,0.006870,-0.004149,0.008480,-0.001541,-0.007051,0.012131,0.005649,0.009430,0.009589,-0.000036,0.000922,-0.000277,0.000008,0.000005,-0.000089,-0.000025,-0.000134,0.000533,0.000007,-0.000003,-0.000197,-0.000666,-0.000013,-0.000073,0.038508,0.009036,0.216037,0.044711,0.032819,0.384438,0.003021,0.080350,3.823904,0.725408,0.318809,0.337716,0.302046,0.300198,0.254539,0.320851,0.261172,0.337091,0.224992,0.225628,0.233395,0.008400,0.004475,0.035571,0.030800,0.015606,0.018279,0.044543,0.001370,0.012020,0.023834,0.029921,0.003576,0.012509,0.037244,0.009115,0.357996,0.033503,0.024019,0.377639,0.003598,0.084225,2.108492,0.613780,0.322172,0.348269,0.289083,0.219783,0.309076,0.311926,0.275177,0.281553,0.227014,0.228325,0.244163,0.011466,0.005491,0.035032,0.033034,0.018528,0.019307,0.043601,0.001792,0.017989,0.021992,0.032083,0.005085,0.012541,Coughing
0.108887,0.010494,2.869104,0.179489,0.197691,0.635994,0.008654,0.175582,-31.062675,1.657620,-0.761619,0.248734,-0.497243,-0.337588,0.316044,0.147136,-0.112091,-0.099480,-0.074676,-0.111268,0.359575,0.003614,0.002073,0.029090,0.032105,0.026208,0.011800,0.031458,0.001176,0.007637,0.004194,0.008625,0.002742,0.019780,0.007063,-0.000000,0.016007,0.005909,0.001027,0.051465,-0.000160,0.022822,-0.122188,-0.018593,-0.020400,0.020441,0.019708,-0.019682,-0.001725,0.012644,0.020435,-0.003391,-0.017942,0.014323,0.016353,-0.000020,-0.000055,-0.001421,-0.002149,0.001255,-0.000763,0.003272,-0.000012,-0.000024,-0.000005,-0.000046,0.000181,0.000088,0.052120,0.015058,0.404878,0.047849,0.036691,0.360998,0.006904,0.144546,5.836210,0.856222,0.619283,0.639826,0.420125,0.358670,0.464621,0.547563,0.276575,0.230403,0.362613,0.252719,0.255062,0.003855,0.001595,0.037637,0.041814,0.024857,0.011055,0.033920,0.001625,0.008913,0.004013,0.008884,0.002657,0.014601,0.053734,0.017664,0.574845,0.049979,0.033065,0.382799,0.009727,0.155937,4.774639,0.857413,0.706417,0.497986,0.494871,0.358361,0.551535,0.479219,0.345957,0.309228,0.408461,0.274795,0.306070,0.005179,0.002265,0.047223,0.048952,0.026648,0.011886,0.049528,0.002113,0.011737,0.004759,0.011232,0.003442,0.017538,Coughing
