# Segments csv created Sun Mar  5 10:54:25 2017
# num_ytids=20371, num_segs=20371, num_unique_labels=527, num_positive_labels=51804
# YTID, start_seconds, end_seconds, positive_labels
"1PajbAKd8Kg, 0.000, 10.000, ""/m/01b_21"""
"1e3_ucOz0Ik, 20.000, 30.000, ""/m/01b_21,/m/09x0r,/m/0dl9sf8,/m/0ytgt"""
"1jc3YPwYfC4, 220.000, 230.000, ""/m/01b_21,/m/09x0r"""
"2I2IzXnhmtc, 120.000, 130.000, ""/m/01b_21"""
"2ZfwEg4JaiU, 0.000, 10.000, ""/m/01b_21,/m/04rlf,/m/09x0r"""
"4EiskLYtkO4, 0.000, 10.000, ""/m/01b_21"""
"4WLF2CT0eCM, 40.000, 50.000, ""/m/01b_21"""
"58jMS3K5iMo, 130.000, 140.000, ""/m/01b_21,/m/04rlf,/m/09x0r"""
"8N5XxcJ7QOU, 20.000, 30.000, ""/m/01b_21,/m/04rlf,/m/07yv9,/m/09x0r,/m/0dl9sf8,/m/0k4j"""
"8l8ghk2CDbE, 190.000, 200.000, ""/m/01b_21,/m/09x0r"""
"DXUmi-gSRww, 10.000, 20.000, ""/m/01b_21,/m/068hy,/m/0bt9lr,/m/0jbk"""
"DkCIFy4OWno, 10.000, 20.000, ""/m/01b_21,/m/09x0r"""
"EBwiCVS_gBs, 40.000, 50.000, ""/m/01b_21,/m/01hsr_,/m/068hy,/m/0bt9lr,/m/0jbk"""
"EX0ZF-jNWIg, 190.000, 200.000, ""/m/01b_21,/m/0dl9sf8"""
"FTePTiRR_tA, 60.000, 70.000, ""/m/01b_21,/m/07mzm6"""
"Fu8Ze7MgXb4, 40.000, 50.000, ""/m/01b_21,/m/09x0r"""
"GbD3F5S_4cQ, 160.000, 170.000, ""/m/01b_21,/m/01hsr_,/m/02p3nc"""
"IN6FFTlq_8c, 50.000, 60.000, ""/m/01b_21,/m/09x0r"""
"J6_hvIunXnU, 0.000, 10.000, ""/m/01b_21,/m/04rlf,/m/07pjwq1,/m/09x0r"""
"K7k1tH72E4k, 130.000, 140.000, ""/m/01b_21"""
"M6bs_l-76uw, 60.000, 70.000, ""/m/01b_21,/m/0dl9sf8"""
"Maul1ExUbfk, 20.000, 30.000, ""/m/01b_21,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk"""
"MoXvWqQ2v38, 300.000, 310.000, ""/m/01b_21,/m/03q5_w,/m/09x0r"""
"Nihn9j68pBE, 10.000, 20.000, ""/m/01b_21"""
"ObbEE5JoDJE, 30.000, 40.000, ""/m/01b_21,/m/01j3sz,/m/07sq110,/m/09x0r"""
"P4Vp5cMKjL0, 70.000, 80.000, ""/m/01b_21,/m/04rlf,/m/09x0r,/m/0ytgt"""
"PCRY7zF-Oyg, 120.000, 130.000, ""/m/01b_21,/m/01j3sz"""
"PQ1NJa6U_Mc, 120.000, 130.000, ""/m/01b_21,/m/09x0r"""
"QQouRzOM9BM, 20.000, 30.000, ""/m/01b_21"""
"R0AJ_4W0f8k, 0.000, 10.000, ""/m/01b_21"""
"SQei2xJFNpk, 310.000, 320.000, ""/m/01b_21,/t/dd00125"""
"UZa8hjP92GM, 20.000, 30.000, ""/m/01b_21,/m/09x0r"""
"VGUn3tueVLE, 400.000, 410.000, ""/m/01b_21,/m/04rlf,/m/09x0r"""
"VdaTqi6O4d0, 10.000, 20.000, ""/m/01b_21,/m/04rlf,/m/0dl9sf8"""
"YTP7YMaEm1s, 20.000, 30.000, ""/m/01b_21"""
"ZBzNxwQk9XE, 0.000, 10.000, ""/m/01b_21,/m/07bgp,/m/0jbk"""
"ZK0nR3j1pAY, 0.000, 10.000, ""/m/01b_21,/m/02fs_r,/m/04rlf,/m/09x0r,/m/0dl9sf8,/t/dd00125"""
"ZvKn6e1AZCU, 0.000, 8.000, ""/m/01b_21"""
"_AjXY9cHCxA, 150.000, 160.000, ""/m/01b_21,/m/01kcd,/m/04rlf,/m/04szw,/m/09x0r"""
"aAJuPyUvHn8, 20.000, 30.000, ""/m/01b_21,/m/09x0r,/m/0dl9sf8,/t/dd00125"""
"ao9oox4OiGU, 10.000, 20.000, ""/m/01b_21"""
"b24uboHG_GE, 0.000, 10.000, ""/m/01b_21,/m/09x0r,/m/0ytgt"""
"bCOmV_G0pkk, 100.000, 110.000, ""/m/01b_21,/m/09x0r"""
"c4MUgtiDtDY, 30.000, 40.000, ""/m/01b_21,/m/09x0r,/m/0lyf6"""
"fDlIO__7vv0, 10.000, 20.000, ""/m/01b_21,/m/09x0r"""
"j0VnD6MrOjc, 20.000, 30.000, ""/m/01b_21,/m/03dnzn"""
"lTGJX5f2scI, 80.000, 90.000, ""/m/01b_21"""
"lvtn_PxRQm4, 120.000, 130.000, ""/m/01b_21,/m/0dl9sf8"""
"mVamaP3xUw0, 20.000, 30.000, ""/m/01b_21,/m/09x0r"""
"nfdEAfLG7qQ, 10.000, 20.000, ""/m/01b_21"""
"oBLLs2UcJbQ, 100.000, 110.000, ""/m/01b_21,/m/09x0r,/m/0ytgt"""
"ovP1V_dqcKs, 20.000, 30.000, ""/m/01b_21,/m/09x0r"""
"phcb_32Cmbo, 30.000, 40.000, ""/m/01b_21,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0dl9sf8,/m/0jbk"""
"qOSdHmfwLF4, 40.000, 50.000, ""/m/01b_21,/m/04rlf,/m/05fw6t"""
"qW5-hZGGx9U, 120.000, 130.000, ""/m/01b_21,/m/09x0r"""
"rsH2f778DnM, 30.000, 40.000, ""/m/01b_21,/m/0dl9sf8"""
"sNCKIJFUj5I, 80.000, 90.000, ""/m/01b_21,/m/01hsr_"""
"sspVoY8hZEY, 110.000, 120.000, ""/m/01b_21,/m/09x0r"""
"y5q8M5iRS4A, 10.000, 20.000, ""/m/01b_21"""
