@RELATION svm_rbf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {./data_c_s/Coughing,./data_c_s/Sneezing}

@DATA
0.007388,0.018953,2.733517,0.089768,0.178669,0.043551,0.031372,0.007738,-30.411581,2.498005,-0.045676,0.463339,0.082146,0.424297,0.311096,0.009367,0.067393,0.056494,0.010266,0.151566,0.113347,0.001400,0.000433,0.043434,0.001836,0.010339,0.001371,0.291231,0.000531,0.000627,0.001314,0.010779,0.000531,0.081776,-0.000123,0.000003,0.007053,-0.001721,-0.002085,-0.000434,0.000079,-0.000037,-0.022324,0.012620,-0.003523,-0.000393,-0.006305,0.003059,0.000248,-0.005794,-0.002944,0.006191,0.004715,0.003740,-0.002554,-0.000093,0.000001,-0.001200,-0.000012,-0.000586,0.000001,0.002879,-0.000008,-0.000012,-0.000013,-0.000572,-0.000001,0.000716,0.006426,0.018631,0.217667,0.021129,0.028311,0.046365,0.018900,0.008667,1.724794,0.362422,0.299927,0.257720,0.197996,0.135368,0.165994,0.124732,0.111604,0.141431,0.124945,0.129635,0.132207,0.001356,0.000507,0.034082,0.002137,0.006338,0.001419,0.086405,0.000746,0.000603,0.001046,0.009499,0.000606,0.021888,0.009284,0.026781,0.353681,0.031677,0.039053,0.067649,0.027947,0.012543,2.367058,0.490591,0.409355,0.391371,0.285441,0.212116,0.236375,0.172448,0.175467,0.216050,0.185759,0.199249,0.176680,0.001869,0.000837,0.052883,0.003509,0.008167,0.002177,0.129229,0.001219,0.000988,0.001682,0.014819,0.000994,0.032412,./data_c_s/Coughing
0.062732,0.007720,2.766902,0.185828,0.239805,0.354870,0.009932,0.056857,-30.356008,2.412831,-0.050284,0.266943,-0.601277,-0.647310,0.139805,-0.288419,-0.110819,-0.215785,0.018816,-0.117134,-0.201939,0.010816,0.005639,0.046171,0.012367,0.013548,0.015534,0.109523,0.001562,0.021333,0.009876,0.009595,0.005873,0.039787,0.007439,-0.000000,0.010845,0.007318,0.000607,0.035144,0.000183,0.000397,-0.082804,-0.005018,-0.002094,-0.026369,-0.001938,0.009517,-0.007742,-0.002287,-0.002810,-0.012147,0.004145,0.012384,0.012516,0.000137,-0.000001,-0.001054,-0.000071,-0.000265,0.000066,-0.002815,0.000014,0.000350,0.000224,0.000176,0.000035,-0.000801,0.039000,0.008978,0.334532,0.051459,0.036362,0.259044,0.006942,0.035270,3.309336,0.495361,0.219830,0.264274,0.251158,0.361672,0.289380,0.243839,0.191542,0.240786,0.237326,0.226934,0.182177,0.008820,0.004772,0.022412,0.011658,0.006551,0.012733,0.061379,0.001047,0.019695,0.007143,0.005491,0.005411,0.015001,0.040452,0.013404,0.506416,0.045449,0.036532,0.249414,0.011083,0.037662,3.348554,0.613712,0.269026,0.361947,0.287087,0.443576,0.368536,0.376143,0.262832,0.276830,0.180046,0.287593,0.195014,0.012312,0.005189,0.028258,0.016732,0.010725,0.018175,0.065749,0.001612,0.027256,0.012395,0.008934,0.008786,0.018890,./data_c_s/Coughing
0.017710,0.006874,3.130658,0.059907,0.120522,0.114975,0.038326,0.026240,-32.584320,1.928611,0.333688,0.747377,-0.236879,0.108281,0.217970,-0.052985,0.193911,-0.041468,0.021905,0.057673,0.098958,0.003340,0.001745,0.007504,0.002269,0.122134,0.002445,0.016224,0.000790,0.003088,0.004096,0.003603,0.001494,0.036049,-0.000023,-0.000005,0.011394,-0.001402,-0.002140,-0.000221,0.000432,-0.000015,-0.085889,-0.007524,-0.001720,0.001386,-0.019616,-0.008147,-0.006540,0.012048,0.001578,0.000552,0.006364,0.003675,0.006880,-0.000004,-0.000001,-0.000158,-0.000005,0.001160,-0.000003,-0.003179,-0.000001,-0.000002,-0.000004,-0.000027,-0.000001,-0.000176,0.008524,0.006044,0.164636,0.018431,0.020188,0.067848,0.050163,0.014647,2.770850,0.346447,0.341219,0.216815,0.392299,0.211329,0.278329,0.303486,0.182524,0.247998,0.181688,0.177068,0.164007,0.002233,0.001967,0.005995,0.002079,0.022964,0.002124,0.014419,0.000874,0.002895,0.003643,0.003612,0.000942,0.005435,0.009769,0.009384,0.248235,0.022286,0.030715,0.090207,0.080983,0.019242,2.383861,0.379655,0.443924,0.357841,0.415048,0.259603,0.351892,0.370261,0.282381,0.319965,0.262648,0.242891,0.199536,0.003251,0.003123,0.010424,0.003310,0.026033,0.002844,0.017061,0.001338,0.004188,0.004658,0.005668,0.001331,0.005359,./data_c_s/Coughing
0.041932,0.001251,3.045027,0.114905,0.174186,0.268823,0.006749,0.054346,-33.525722,2.200716,-0.640329,0.106252,-0.188781,-0.082634,0.009944,0.083727,-0.195197,-0.056056,-0.017729,0.022930,-0.072104,0.014220,0.006706,0.041643,0.017102,0.025439,0.011876,0.032684,0.006619,0.009394,0.020096,0.020538,0.004902,0.020769,-0.000031,-0.000000,0.000646,0.000640,0.000680,0.000743,0.000143,0.000046,0.008124,-0.008321,-0.001320,-0.004619,0.002555,0.005709,0.005699,0.001805,0.000629,0.006130,0.006745,0.002370,0.004392,-0.000144,0.000016,-0.000669,-0.000010,-0.001462,0.000178,0.000598,0.000004,0.000064,0.000642,0.000176,-0.000028,-0.000229,0.008319,0.001280,0.184814,0.014321,0.014416,0.093524,0.002810,0.012958,1.302995,0.356741,0.264814,0.240446,0.167936,0.184991,0.174881,0.170332,0.154178,0.162954,0.153961,0.157032,0.143169,0.009034,0.004861,0.017338,0.010956,0.012782,0.007713,0.014515,0.005312,0.006042,0.010198,0.009645,0.003129,0.005047,0.010187,0.002038,0.288894,0.019247,0.019375,0.117115,0.004134,0.017830,1.432369,0.428188,0.324121,0.317154,0.234381,0.261805,0.251240,0.256923,0.230381,0.227617,0.223212,0.230209,0.213959,0.012597,0.007612,0.027619,0.015872,0.018315,0.011285,0.021653,0.008016,0.008899,0.015561,0.013756,0.004987,0.008087,./data_c_s/Coughing
0.093137,0.003381,2.864484,0.242978,0.206103,0.876423,0.007146,0.129370,-32.382774,0.970251,0.692576,0.076668,-0.160233,-0.116315,0.104577,-0.086657,0.021764,-0.115041,-0.023469,-0.019697,-0.031205,0.010040,0.001836,0.026628,0.007027,0.034295,0.008501,0.064851,0.001534,0.003672,0.007485,0.015580,0.003133,0.027682,0.000096,0.000000,-0.000000,0.000049,-0.000005,0.000397,0.000008,0.000000,0.000654,0.000006,-0.000370,-0.000281,-0.000046,0.000079,-0.000558,-0.000224,0.000619,0.000040,0.000257,0.000276,0.000011,0.000000,-0.000000,0.000000,-0.000000,-0.000019,-0.000002,-0.000000,-0.000001,-0.000002,0.000000,0.000000,-0.000000,-0.000005,0.024314,0.003381,0.283746,0.034534,0.022794,0.231351,0.003884,0.042383,2.248328,0.502003,0.415993,0.282570,0.266551,0.217325,0.163384,0.197692,0.187076,0.191860,0.152288,0.158756,0.154663,0.007277,0.001595,0.019241,0.006296,0.011688,0.006264,0.039173,0.001275,0.002376,0.004953,0.011614,0.002591,0.010865,0.030171,0.004855,0.453282,0.037323,0.026944,0.304192,0.005648,0.054048,2.286449,0.644332,0.520676,0.362470,0.309833,0.278664,0.220189,0.269381,0.254485,0.250402,0.206529,0.235099,0.211077,0.011098,0.002520,0.027936,0.009373,0.016511,0.009019,0.053156,0.001835,0.003775,0.007125,0.014127,0.003887,0.014003,./data_c_s/Coughing
0.079571,0.024870,2.902647,0.175852,0.206455,0.559341,0.010173,0.105178,-27.678566,1.262908,0.293393,0.677550,-0.502345,0.177254,-0.144729,-0.134809,0.074299,-0.288463,0.024960,-0.022863,-0.089017,0.009624,0.002281,0.030028,0.012738,0.036795,0.011599,0.025177,0.001158,0.005197,0.015588,0.018738,0.007416,0.020589,0.004353,-0.003309,0.042874,0.004469,0.000303,0.066292,-0.001049,0.017752,-0.678486,-0.118272,-0.116336,-0.042175,0.054659,0.090454,0.037422,0.007963,0.009032,0.003941,0.025378,0.007938,-0.028028,-0.001894,0.000202,-0.007456,-0.000497,0.005603,-0.000532,-0.001228,0.000188,0.000232,-0.003802,-0.001965,0.000071,-0.000369,0.024508,0.019164,0.312923,0.028556,0.015004,0.243996,0.004982,0.047230,2.031521,0.673124,0.399343,0.203901,0.154317,0.252869,0.179575,0.202529,0.144783,0.198885,0.150739,0.171680,0.162937,0.006351,0.002065,0.015605,0.013657,0.020306,0.008345,0.021186,0.001100,0.003250,0.013405,0.014622,0.006263,0.009607,0.021786,0.022978,0.451217,0.034457,0.021526,0.277996,0.007312,0.051893,1.930990,0.689963,0.482520,0.305852,0.275436,0.269650,0.242138,0.283496,0.205759,0.299549,0.221110,0.260671,0.203121,0.008337,0.002833,0.025151,0.021140,0.023046,0.012970,0.033343,0.001728,0.004883,0.020171,0.022116,0.009348,0.009694,./data_c_s/Coughing
0.142000,0.006368,2.846231,0.289379,0.257232,1.021573,0.010524,0.296109,-35.309704,1.838539,0.394410,0.513840,0.245775,0.297409,0.204448,0.269088,0.102998,-0.065657,0.059724,0.013106,0.079850,0.006565,0.001020,0.078247,0.002694,0.021940,0.002027,0.156839,0.000394,0.000895,0.005993,0.034539,0.000729,0.052353,-0.000085,0.000000,-0.006867,0.000230,-0.000241,-0.010543,0.000018,-0.001673,-0.018072,-0.023924,-0.019450,-0.005999,-0.004570,-0.013937,-0.006391,0.000982,0.010801,0.013050,0.004141,0.004693,-0.004681,-0.000037,0.000013,0.002225,-0.000061,0.000489,-0.000041,-0.000697,-0.000003,-0.000013,-0.000089,-0.000443,-0.000036,0.000035,0.044413,0.009134,0.229328,0.044070,0.023789,0.327566,0.004554,0.104240,2.027942,0.396820,0.325131,0.190722,0.156292,0.197882,0.210589,0.183869,0.200145,0.152283,0.180268,0.156727,0.128019,0.007618,0.000734,0.040180,0.002250,0.012441,0.001728,0.054077,0.000236,0.000747,0.005685,0.020815,0.000516,0.016160,0.051916,0.008803,0.291461,0.049717,0.029097,0.389921,0.008204,0.133575,2.160517,0.465190,0.478971,0.236851,0.275016,0.292403,0.298233,0.249102,0.293905,0.231062,0.240406,0.214792,0.194576,0.012860,0.001196,0.069443,0.003460,0.021717,0.002725,0.078723,0.000378,0.001214,0.008265,0.029376,0.000773,0.024117,./data_c_s/Coughing
0.052991,0.061238,2.663043,0.123756,0.162211,0.347834,0.014884,0.051951,-25.929652,2.760606,1.017684,0.026472,-0.392391,0.309952,0.043145,-0.057247,0.130229,-0.124844,0.145091,0.048762,0.093719,0.016477,0.002448,0.046825,0.010346,0.040749,0.010473,0.042264,0.000848,0.007163,0.027750,0.039453,0.003152,0.025938,-0.002892,-0.004209,0.034377,-0.004941,-0.003284,-0.015061,0.000874,-0.000794,-0.527595,0.091307,0.030807,0.076927,0.042951,0.005096,-0.006066,0.007421,-0.026070,-0.032921,0.021872,0.008949,0.024192,-0.000730,-0.000686,0.000772,-0.000013,-0.001901,-0.000371,0.003388,-0.000020,-0.000457,0.000654,0.002170,-0.000420,0.000527,0.022891,0.062521,0.349778,0.022206,0.016387,0.195283,0.010942,0.046081,2.919988,0.325013,0.353556,0.344791,0.320530,0.307809,0.203317,0.212930,0.170260,0.174016,0.172685,0.194561,0.223957,0.010294,0.002136,0.018869,0.007551,0.025580,0.007765,0.019020,0.000839,0.006486,0.019788,0.018075,0.002177,0.006250,0.026583,0.098842,0.466405,0.025100,0.022401,0.274708,0.013688,0.070986,3.639533,0.515002,0.515281,0.467703,0.439888,0.452038,0.273452,0.231277,0.255472,0.224514,0.272561,0.244496,0.338524,0.015875,0.003107,0.023046,0.012559,0.028258,0.013552,0.025411,0.001353,0.009790,0.030290,0.030676,0.003952,0.010836,./data_c_s/Coughing
0.064684,0.055584,2.801959,0.122847,0.160723,0.458228,0.008350,0.090064,-31.254656,1.815403,0.347627,0.617962,-0.160066,0.084869,-0.269081,0.085388,0.007810,-0.091012,-0.004302,-0.004160,0.062093,0.005902,0.001458,0.076041,0.009459,0.038243,0.018731,0.051783,0.000441,0.004145,0.008929,0.025052,0.001985,0.033886,0.005218,-0.000001,-0.000806,0.003475,-0.000455,0.022787,0.000087,0.006749,-0.061290,-0.034370,0.001995,-0.010203,0.001311,-0.003605,-0.000397,0.002601,0.008267,-0.001963,-0.002617,0.004351,-0.003175,0.000162,-0.000001,-0.003198,0.000006,0.000318,-0.000033,-0.005053,-0.000001,-0.000006,-0.000197,0.000025,0.000017,-0.001424,0.023240,0.039772,0.317262,0.021006,0.025622,0.271408,0.004290,0.049010,2.760404,0.480452,0.255697,0.231115,0.252668,0.251976,0.199878,0.201175,0.207252,0.189164,0.156565,0.167697,0.171748,0.003855,0.000940,0.031751,0.007149,0.020524,0.020090,0.028868,0.000309,0.002622,0.007104,0.013239,0.001771,0.010210,0.027915,0.053003,0.504274,0.023135,0.037700,0.290460,0.007198,0.051781,2.854769,0.588850,0.299561,0.304551,0.330165,0.316108,0.257857,0.270088,0.236844,0.254446,0.249829,0.246387,0.233434,0.006280,0.001564,0.043230,0.010900,0.027653,0.025523,0.040926,0.000424,0.004146,0.010838,0.018748,0.002822,0.013013,./data_c_s/Coughing
0.081044,0.005440,3.065339,0.193673,0.228668,0.588152,0.004968,0.108736,-29.422905,2.275575,0.028058,0.204069,-0.330138,-0.137666,0.184907,-0.276356,0.127813,-0.162720,-0.145516,0.151223,-0.095412,0.010825,0.003845,0.043614,0.031252,0.021353,0.014908,0.046053,0.001569,0.006865,0.020759,0.035373,0.004265,0.028800,0.000853,0.000000,0.002015,0.000065,-0.001362,0.018467,0.000186,0.003153,0.029250,-0.045740,0.008012,-0.006626,0.009733,-0.000706,-0.007000,0.013865,0.007165,0.007390,0.008271,0.000734,0.001284,-0.000185,0.000041,-0.000245,-0.000040,-0.000106,-0.000151,0.000296,0.000012,-0.000017,-0.000163,-0.000797,-0.000042,-0.000132,0.027815,0.004837,0.173750,0.026605,0.017896,0.270400,0.002294,0.056962,1.524269,0.439227,0.213539,0.227276,0.199818,0.145968,0.190734,0.192630,0.189607,0.184774,0.154331,0.149385,0.143422,0.006123,0.002742,0.021433,0.019257,0.011273,0.011385,0.022025,0.001000,0.005655,0.011394,0.020272,0.002681,0.007805,0.030209,0.005619,0.276716,0.026849,0.018652,0.286637,0.003058,0.065650,1.400881,0.465315,0.272874,0.293012,0.252643,0.190557,0.269269,0.262582,0.246490,0.220660,0.196724,0.191663,0.210953,0.009142,0.003887,0.029647,0.026509,0.015924,0.014196,0.032375,0.001488,0.009212,0.015975,0.026965,0.004086,0.010638,./data_c_s/Coughing
